CUSTOMER_ID,LOCATION,ACTIVITY,RATING
616,Washington,White House,6
142,Paris,metro,2
651,Washington,restaurants,1
461,Rome,Forum of Rome,2
325,Washington,White House,7
715,Paris,Parliament,2
601,Washington,White House,1
340,Rome,Forum of Rome,4
184,Rome,movies,3
486,Paris,Parliament,6
413,Paris,Montmartre,6
845,Athens,restaurants,4
980,Athens,Acropole,7
929,Washington,restaurants,4
144,Paris,Eiffel Tower,4
210,Paris,Parliament,3
770,Rome,movies,3
819,Washington,restaurants,4
459,Rome,Forum of Rome,5
147,Athens,Acropole,3
900,Athens,museums,1
67,Rome,Forum of Rome,4
348,Paris,Parliament,5
638,Rome,Forum of Rome,1
3,Rome,Forum of Rome,3
644,Athens,Acropole,6
531,Washington,Senate,3
246,Paris,metro,6
927,Rome,Forum of Rome,1
928,Rome,Forum of Rome,3
328,Rome,Forum of Rome,2
735,Paris,Parliament,5
589,Athens,Acropole,4
976,Paris,Parliament,1
427,Paris,Parliament,4
612,Rome,movies,2
518,Rome,Forum of Rome,7
114,Athens,museums,6
581,Washington,White House,4
547,Rome,Forum of Rome,4
271,Washington,Senate,3
122,Rome,Forum of Rome,6
315,Washington,White House,6
735,Washington,Senate,1
45,Rome,Forum of Rome,2
448,Washington,White House,4
22,Athens,statues,6
521,Paris,Eiffel Tower,7
532,Rome,Forum of Rome,1
864,Athens,restaurants,7
454,Athens,restaurants,1
71,Rome,Forum of Rome,7
47,Washington,statues,5
318,Paris,Eiffel Tower,1
230,Paris,Parliament,6
470,Rome,movies,3
131,Paris,metro,3
40,Paris,Eiffel Tower,3
393,Athens,restaurants,7
876,Rome,walking,2
980,Athens,restaurants,3
525,Athens,restaurants,7
356,Athens,Acropole,6
73,Washington,Senate,4
559,Rome,Forum of Rome,7
254,Washington,Senate,7
34,Washington,statues,1
229,Athens,Acropole,6
92,Washington,restaurants,4
279,Washington,Senate,2
117,Athens,museums,6
906,Washington,White House,7
373,Paris,movies,4
268,Washington,statues,6
902,Paris,Montmartre,6
432,Washington,restaurants,2
33,Washington,statues,4
298,Paris,metro,2
179,Washington,Senate,2
989,Athens,restaurants,1
645,Rome,movies,7
569,Paris,Parliament,5
935,Paris,Eiffel Tower,7
242,Athens,statues,3
842,Rome,Forum of Rome,5
395,Rome,Forum of Rome,5
241,Rome,Forum of Rome,3
822,Rome,walking,1
506,Rome,Forum of Rome,5
427,Rome,movies,7
674,Athens,restaurants,6
215,Washington,Senate,1
869,Paris,metro,6
727,Rome,walking,5
853,Rome,Forum of Rome,6
971,Washington,restaurants,5
371,Athens,museums,6
893,Paris,movies,2
389,Washington,Senate,1
115,Athens,Acropole,1
476,Washington,Senate,3
724,Paris,Eiffel Tower,2
167,Athens,Acropole,7
782,Athens,restaurants,5
736,Athens,Acropole,4
1000,Athens,restaurants,6
1,Athens,Acropole,6
838,Rome,walking,5
405,Athens,restaurants,3
487,Rome,Forum of Rome,3
583,Washington,restaurants,4
793,Washington,statues,5
797,Washington,Senate,2
302,Paris,Parliament,5
321,Athens,Acropole,6
231,Athens,Acropole,3
113,Athens,museums,4
165,Rome,movies,2
268,Paris,metro,4
893,Rome,Forum of Rome,2
858,Athens,restaurants,4
907,Paris,movies,6
423,Rome,Forum of Rome,5
811,Paris,Parliament,3
995,Athens,restaurants,3
227,Athens,restaurants,6
507,Paris,Montmartre,6
782,Paris,Parliament,4
951,Paris,movies,3
427,Athens,statues,1
685,Athens,restaurants,6
788,Paris,Parliament,4
168,Washington,restaurants,4
716,Athens,Acropole,3
322,Paris,Montmartre,7
35,Athens,museums,2
287,Paris,metro,3
199,Athens,restaurants,4
443,Rome,Forum of Rome,1
347,Paris,Parliament,4
341,Rome,movies,5
143,Athens,statues,5
142,Rome,Forum of Rome,5
581,Washington,Senate,4
350,Rome,Forum of Rome,4
74,Paris,Parliament,2
399,Paris,Parliament,2
156,Paris,Parliament,2
192,Athens,restaurants,4
740,Paris,Parliament,2
331,Athens,Acropole,5
139,Paris,Eiffel Tower,4
765,Athens,Acropole,4
842,Athens,restaurants,4
564,Washington,restaurants,2
809,Paris,metro,4
778,Washington,White House,3
510,Rome,Forum of Rome,3
309,Athens,Acropole,5
265,Athens,Acropole,2
55,Washington,White House,1
70,Paris,Parliament,2
551,Washington,Senate,3
259,Washington,Senate,1
189,Paris,movies,4
725,Washington,Senate,1
490,Rome,Forum of Rome,3
347,Athens,Acropole,6
561,Paris,Montmartre,6
703,Rome,movies,5
420,Washington,Senate,5
102,Washington,restaurants,3
185,Rome,Forum of Rome,6
204,Paris,Eiffel Tower,4
183,Athens,Acropole,5
199,Athens,Acropole,2
906,Athens,statues,5
128,Paris,Eiffel Tower,6
815,Rome,movies,4
864,Athens,statues,4
385,Paris,Parliament,5
526,Rome,Forum of Rome,3
782,Athens,statues,1
515,Washington,White House,3
499,Paris,Parliament,4
57,Rome,Forum of Rome,5
60,Washington,statues,6
424,Paris,metro,2
378,Rome,Forum of Rome,1
366,Rome,Forum of Rome,7
972,Paris,Montmartre,7
240,Washington,White House,7
333,Paris,Montmartre,5
792,Paris,Parliament,6
896,Athens,restaurants,3
721,Rome,Forum of Rome,1
292,Rome,Forum of Rome,2
220,Athens,museums,3
861,Washington,White House,4
683,Athens,statues,5
386,Athens,Acropole,7
669,Paris,Eiffel Tower,2
864,Athens,Acropole,1
602,Paris,Parliament,2
779,Athens,museums,2
575,Rome,Forum of Rome,2
535,Athens,museums,4
247,Washington,White House,3
263,Rome,Forum of Rome,2
76,Rome,walking,5
612,Athens,restaurants,6
236,Athens,museums,3
971,Rome,Forum of Rome,6
533,Washington,restaurants,2
233,Washington,White House,4
56,Athens,museums,2
383,Paris,Eiffel Tower,4
785,Rome,Forum of Rome,1
525,Paris,Parliament,7
905,Washington,White House,3
722,Rome,Forum of Rome,4
33,Rome,Forum of Rome,2
108,Rome,Forum of Rome,7
665,Athens,Acropole,4
625,Athens,museums,4
142,Athens,Acropole,3
191,Athens,museums,5
819,Paris,Eiffel Tower,7
177,Rome,Forum of Rome,5
374,Paris,Parliament,7
629,Rome,Forum of Rome,2
353,Washington,White House,3
189,Paris,metro,3
775,Athens,Acropole,7
2,Athens,Acropole,2
941,Paris,Eiffel Tower,5
197,Washington,Senate,4
604,Athens,Acropole,6
723,Athens,museums,6
445,Athens,statues,6
808,Paris,Parliament,3
836,Rome,Forum of Rome,7
224,Washington,Senate,4
949,Washington,restaurants,6
493,Paris,Parliament,7
434,Washington,White House,4
939,Rome,walking,1
817,Rome,Forum of Rome,7
878,Athens,restaurants,7
790,Rome,Forum of Rome,7
817,Washington,Senate,5
709,Paris,Eiffel Tower,2
472,Athens,museums,2
916,Rome,movies,5
364,Washington,restaurants,7
266,Washington,restaurants,7
176,Rome,walking,7
111,Athens,Acropole,3
225,Athens,Acropole,5
929,Rome,Forum of Rome,5
169,Paris,metro,6
192,Washington,Senate,7
99,Paris,Eiffel Tower,6
895,Washington,White House,6
592,Rome,Forum of Rome,3
739,Rome,walking,2
708,Athens,restaurants,1
82,Athens,restaurants,2
122,Athens,statues,6
738,Athens,restaurants,7
197,Athens,Acropole,2
138,Athens,statues,7
2,Athens,restaurants,4
831,Paris,metro,4
75,Rome,Forum of Rome,6
790,Rome,movies,2
355,Paris,Eiffel Tower,2
517,Rome,movies,7
542,Rome,Forum of Rome,3
376,Paris,Parliament,4
125,Washington,restaurants,5
12,Washington,White House,4
764,Rome,Forum of Rome,7
715,Washington,restaurants,7
126,Washington,White House,4
786,Rome,Forum of Rome,1
536,Paris,metro,3
503,Athens,Acropole,7
10,Rome,Forum of Rome,6
351,Rome,Forum of Rome,1
355,Athens,Acropole,1
280,Washington,White House,4
921,Washington,White House,3
480,Paris,Eiffel Tower,2
626,Athens,statues,7
179,Rome,Forum of Rome,7
627,Paris,Eiffel Tower,1
395,Rome,movies,4
315,Athens,museums,6
278,Rome,Forum of Rome,5
604,Paris,Parliament,6
199,Washington,Senate,1
591,Rome,Forum of Rome,6
25,Washington,White House,6
250,Rome,Forum of Rome,3
513,Paris,Parliament,2
195,Paris,Parliament,5
553,Paris,Eiffel Tower,3
675,Athens,restaurants,6
471,Athens,Acropole,5
233,Rome,Forum of Rome,4
655,Washington,Senate,7
487,Rome,Forum of Rome,4
566,Washington,White House,2
365,Paris,metro,1
672,Rome,Forum of Rome,5
21,Washington,Senate,5
118,Rome,Forum of Rome,5
396,Athens,museums,2
675,Washington,statues,3
517,Washington,White House,3
195,Rome,Forum of Rome,3
491,Athens,restaurants,1
835,Paris,Eiffel Tower,3
157,Athens,restaurants,4
877,Paris,metro,2
553,Washington,White House,2
861,Washington,Senate,7
143,Athens,Acropole,4
337,Rome,Forum of Rome,2
265,Paris,Eiffel Tower,2
183,Paris,Parliament,7
457,Rome,Forum of Rome,7
105,Washington,Senate,6
213,Athens,restaurants,1
909,Washington,restaurants,3
757,Paris,Eiffel Tower,5
946,Paris,metro,2
854,Washington,Senate,1
196,Paris,Eiffel Tower,5
610,Washington,White House,6
155,Rome,Forum of Rome,6
697,Athens,museums,3
390,Athens,museums,6
760,Paris,Montmartre,6
423,Athens,restaurants,7
658,Paris,Eiffel Tower,4
154,Athens,Acropole,1
491,Washington,White House,1
670,Paris,Montmartre,3
777,Rome,Forum of Rome,7
3,Athens,museums,1
988,Rome,Forum of Rome,5
638,Rome,movies,1
707,Washington,White House,4
193,Rome,Forum of Rome,5
293,Athens,Acropole,7
996,Paris,Eiffel Tower,1
475,Rome,Forum of Rome,1
868,Paris,Parliament,2
242,Paris,Eiffel Tower,6
935,Washington,White House,2
494,Rome,Forum of Rome,6
571,Athens,Acropole,6
617,Athens,restaurants,3
698,Paris,Parliament,1
808,Athens,Acropole,3
726,Rome,Forum of Rome,7
653,Paris,Parliament,1
813,Washington,restaurants,3
127,Washington,Senate,5
9,Athens,Acropole,2
871,Paris,Parliament,3
229,Rome,walking,1
747,Rome,Forum of Rome,5
148,Paris,Parliament,6
892,Rome,movies,1
330,Washington,Senate,5
943,Paris,Eiffel Tower,4
46,Paris,Eiffel Tower,7
530,Rome,Forum of Rome,1
724,Rome,walking,2
513,Washington,White House,5
534,Washington,White House,3
95,Rome,Forum of Rome,6
196,Athens,restaurants,3
955,Paris,Parliament,3
554,Athens,Acropole,2
160,Paris,Parliament,6
690,Rome,Forum of Rome,3
719,Washington,restaurants,3
126,Athens,Acropole,5
205,Paris,Parliament,7
178,Washington,statues,7
965,Rome,Forum of Rome,4
274,Athens,Acropole,6
924,Paris,Eiffel Tower,5
336,Rome,Forum of Rome,4
225,Rome,walking,1
654,Rome,movies,6
437,Washington,statues,4
298,Rome,movies,1
186,Rome,Forum of Rome,6
647,Paris,Montmartre,2
17,Rome,Forum of Rome,5
680,Rome,Forum of Rome,3
272,Paris,metro,2
872,Paris,Montmartre,6
980,Athens,museums,1
978,Athens,statues,5
359,Athens,Acropole,1
309,Athens,restaurants,6
955,Rome,Forum of Rome,6
300,Rome,Forum of Rome,3
455,Rome,Forum of Rome,5
549,Rome,walking,5
807,Paris,Montmartre,4
639,Washington,Senate,7
491,Athens,statues,2
346,Paris,metro,6
163,Washington,restaurants,7
804,Rome,Forum of Rome,6
284,Washington,statues,4
544,Rome,Forum of Rome,5
284,Paris,Parliament,2
670,Paris,Eiffel Tower,6
360,Rome,Forum of Rome,6
41,Washington,Senate,4
236,Rome,Forum of Rome,5
401,Washington,Senate,7
959,Rome,Forum of Rome,3
174,Athens,Acropole,7
979,Washington,restaurants,3
600,Rome,Forum of Rome,7
754,Athens,restaurants,5
932,Rome,Forum of Rome,1
847,Washington,Senate,5
340,Rome,Forum of Rome,4
645,Rome,walking,6
709,Athens,Acropole,6
279,Rome,Forum of Rome,5
917,Rome,Forum of Rome,7
862,Paris,Parliament,2
335,Washington,restaurants,3
975,Athens,restaurants,2
642,Paris,Parliament,2
625,Washington,restaurants,7
622,Paris,Parliament,6
879,Rome,Forum of Rome,3
80,Athens,statues,3
60,Washington,Senate,2
822,Rome,movies,6
30,Athens,statues,7
991,Rome,Forum of Rome,7
193,Rome,Forum of Rome,4
676,Washington,restaurants,7
171,Paris,movies,3
682,Rome,Forum of Rome,6
67,Paris,Parliament,1
922,Washington,Senate,3
732,Paris,Parliament,5
932,Rome,Forum of Rome,5
595,Washington,restaurants,1
312,Rome,movies,3
146,Athens,Acropole,1
844,Washington,White House,5
955,Rome,walking,2
393,Rome,Forum of Rome,6
385,Athens,Acropole,7
966,Athens,museums,2
256,Paris,movies,1
931,Paris,metro,2
378,Rome,movies,5
240,Washington,White House,2
131,Rome,Forum of Rome,6
519,Paris,Parliament,5
461,Paris,metro,1
344,Rome,Forum of Rome,5
699,Athens,Acropole,5
571,Rome,movies,1
270,Paris,Eiffel Tower,7
996,Paris,Parliament,6
798,Athens,Acropole,4
175,Athens,restaurants,7
392,Athens,museums,2
539,Athens,Acropole,6
591,Paris,metro,5
985,Rome,Forum of Rome,6
548,Washington,restaurants,6
399,Washington,White House,6
677,Paris,Parliament,5
857,Paris,Eiffel Tower,1
675,Athens,restaurants,4
200,Washington,Senate,4
934,Athens,restaurants,2
399,Washington,Senate,2
929,Rome,Forum of Rome,6
759,Athens,restaurants,7
871,Rome,Forum of Rome,3
393,Paris,metro,1
34,Paris,Parliament,5
701,Paris,movies,6
920,Athens,restaurants,4
58,Paris,metro,3
706,Athens,museums,5
64,Paris,metro,3
418,Rome,Forum of Rome,1
324,Washington,Senate,3
616,Rome,Forum of Rome,1
768,Paris,metro,4
312,Washington,statues,1
872,Athens,Acropole,2
740,Washington,Senate,6
466,Rome,Forum of Rome,3
520,Athens,museums,6
400,Rome,Forum of Rome,4
467,Washington,Senate,4
412,Rome,Forum of Rome,1
583,Washington,restaurants,5
95,Paris,metro,1
253,Washington,White House,4
297,Washington,Senate,2
489,Washington,statues,5
906,Paris,Montmartre,6
635,Rome,walking,2
161,Rome,Forum of Rome,7
227,Rome,Forum of Rome,5
623,Washington,White House,5
477,Washington,White House,6
57,Washington,White House,4
505,Rome,Forum of Rome,5
54,Washington,Senate,2
441,Rome,movies,3
227,Rome,Forum of Rome,6
488,Rome,Forum of Rome,4
241,Paris,Parliament,6
212,Paris,Eiffel Tower,2
324,Rome,Forum of Rome,6
909,Paris,Montmartre,5
472,Athens,museums,5
884,Washington,Senate,4
6,Athens,statues,6
391,Paris,Eiffel Tower,2
278,Washington,restaurants,5
972,Washington,Senate,4
929,Rome,Forum of Rome,3
837,Washington,Senate,4
261,Paris,Parliament,7
754,Athens,Acropole,6
789,Athens,statues,1
81,Rome,walking,5
572,Athens,museums,2
893,Athens,restaurants,3
674,Paris,Parliament,6
793,Rome,Forum of Rome,2
424,Athens,restaurants,3
261,Athens,Acropole,2
850,Washington,Senate,6
957,Rome,Forum of Rome,2
605,Athens,statues,6
309,Paris,metro,1
475,Paris,Eiffel Tower,3
249,Athens,statues,5
311,Rome,Forum of Rome,3
302,Paris,Parliament,4
360,Rome,Forum of Rome,1
182,Paris,Parliament,4
482,Rome,Forum of Rome,2
231,Rome,Forum of Rome,5
328,Washington,White House,5
103,Paris,Montmartre,3
389,Paris,Parliament,1
290,Washington,White House,7
686,Washington,White House,4
185,Washington,Senate,4
348,Washington,Senate,1
385,Paris,metro,6
824,Athens,Acropole,1
492,Washington,White House,2
857,Washington,White House,3
3,Athens,Acropole,4
110,Rome,Forum of Rome,6
579,Rome,Forum of Rome,2
466,Paris,Parliament,6
48,Paris,Eiffel Tower,5
732,Washington,Senate,1
919,Rome,Forum of Rome,7
219,Rome,Forum of Rome,4
94,Paris,Parliament,6
201,Washington,White House,6
652,Rome,movies,1
413,Rome,Forum of Rome,3
316,Athens,Acropole,3
781,Rome,Forum of Rome,7
590,Washington,Senate,5
52,Athens,Acropole,1
183,Rome,Forum of Rome,1
733,Paris,Eiffel Tower,5
439,Rome,Forum of Rome,6
174,Washington,statues,2
241,Paris,metro,2
697,Athens,restaurants,3
260,Washington,restaurants,1
868,Rome,Forum of Rome,3
891,Athens,Acropole,7
980,Paris,metro,3
92,Athens,statues,5
983,Rome,Forum of Rome,5
149,Washington,Senate,5
895,Athens,Acropole,6
866,Paris,movies,5
711,Washington,statues,4
221,Athens,Acropole,2
346,Washington,restaurants,4
809,Washington,Senate,5
207,Rome,Forum of Rome,5
122,Athens,statues,5
617,Paris,movies,3
440,Athens,museums,5
40,Paris,Parliament,2
918,Rome,Forum of Rome,7
884,Paris,Parliament,7
40,Rome,Forum of Rome,3
481,Rome,Forum of Rome,4
815,Athens,Acropole,4
129,Rome,Forum of Rome,7
711,Rome,movies,5
285,Washington,restaurants,1
979,Rome,walking,7
135,Rome,Forum of Rome,3
835,Athens,restaurants,3
761,Rome,Forum of Rome,6
363,Paris,Parliament,4
797,Rome,Forum of Rome,6
249,Paris,Parliament,3
961,Athens,Acropole,6
369,Rome,Forum of Rome,4
390,Athens,restaurants,7
872,Rome,movies,4
430,Paris,metro,4
807,Athens,statues,5
905,Paris,Eiffel Tower,1
135,Rome,Forum of Rome,1
629,Athens,Acropole,6
916,Paris,movies,5
764,Washington,restaurants,6
475,Washington,White House,5
616,Washington,restaurants,4
150,Rome,Forum of Rome,1
85,Washington,Senate,6
689,Paris,Parliament,3
844,Washington,statues,7
542,Athens,statues,5
972,Paris,Parliament,2
740,Rome,Forum of Rome,1
252,Athens,Acropole,3
165,Athens,restaurants,3
401,Rome,Forum of Rome,1
133,Athens,restaurants,3
816,Athens,Acropole,1
315,Paris,Montmartre,7
216,Rome,Forum of Rome,6
641,Paris,Parliament,2
107,Paris,movies,2
475,Rome,Forum of Rome,2
948,Washington,Senate,6
136,Rome,Forum of Rome,4
808,Rome,movies,4
759,Washington,White House,4
312,Washington,restaurants,3
249,Athens,Acropole,5
736,Athens,restaurants,7
115,Paris,Parliament,4
166,Paris,Parliament,3
654,Athens,restaurants,7
233,Rome,walking,4
329,Paris,Eiffel Tower,6
644,Paris,Montmartre,2
43,Athens,Acropole,6
816,Paris,Parliament,3
722,Rome,Forum of Rome,1
649,Washington,White House,1
362,Paris,Eiffel Tower,5
427,Rome,Forum of Rome,2
278,Paris,movies,4
312,Rome,Forum of Rome,5
450,Washington,Senate,3
840,Athens,museums,5
719,Athens,museums,5
122,Athens,Acropole,1
316,Paris,movies,5
904,Washington,Senate,7
849,Washington,Senate,3
959,Paris,Montmartre,2
215,Paris,Parliament,4
294,Washington,restaurants,4
978,Athens,restaurants,6
959,Rome,Forum of Rome,1
108,Washington,Senate,5
481,Washington,Senate,5
515,Washington,Senate,6
652,Paris,Parliament,6
240,Athens,Acropole,6
105,Washington,White House,2
80,Washington,restaurants,3
827,Paris,Eiffel Tower,6
653,Rome,Forum of Rome,4
530,Rome,Forum of Rome,1
184,Washington,restaurants,3
706,Paris,Parliament,5
177,Washington,White House,7
275,Rome,Forum of Rome,6
106,Rome,Forum of Rome,1
587,Rome,Forum of Rome,5
914,Rome,walking,2
791,Washington,statues,3
307,Rome,Forum of Rome,6
916,Athens,museums,3
131,Athens,restaurants,2
401,Paris,metro,1
679,Paris,Eiffel Tower,6
275,Paris,Montmartre,4
279,Washington,restaurants,2
872,Athens,Acropole,5
866,Washington,White House,3
306,Paris,metro,4
128,Rome,Forum of Rome,5
390,Rome,movies,4
778,Rome,movies,4
530,Paris,Parliament,7
973,Rome,Forum of Rome,2
201,Rome,Forum of Rome,1
109,Athens,Acropole,6
936,Paris,Parliament,4
540,Washington,White House,7
482,Rome,Forum of Rome,7
731,Athens,museums,1
966,Rome,walking,2
94,Rome,Forum of Rome,1
641,Washington,Senate,1
447,Washington,White House,6
26,Rome,movies,6
823,Rome,Forum of Rome,5
645,Athens,statues,5
682,Paris,metro,1
301,Athens,Acropole,1
796,Washington,White House,3
239,Washington,Senate,7
728,Paris,Parliament,4
434,Washington,statues,6
273,Paris,Eiffel Tower,4
782,Athens,museums,7
603,Athens,museums,5
242,Rome,Forum of Rome,7
707,Rome,walking,5
859,Washington,White House,5
76,Rome,Forum of Rome,3
354,Rome,Forum of Rome,6
713,Rome,movies,4
971,Athens,statues,2
228,Rome,walking,1
197,Paris,Parliament,6
531,Paris,Parliament,6
131,Paris,movies,7
86,Athens,Acropole,4
359,Rome,movies,4
674,Rome,Forum of Rome,5
374,Paris,metro,7
54,Paris,Parliament,6
620,Washington,restaurants,2
265,Rome,Forum of Rome,5
464,Paris,movies,1
94,Paris,Parliament,1
807,Rome,walking,6
639,Athens,restaurants,3
69,Washington,restaurants,7
564,Washington,restaurants,4
658,Paris,Eiffel Tower,4
835,Athens,Acropole,3
430,Athens,Acropole,4
227,Athens,statues,6
971,Athens,restaurants,2
263,Washington,statues,1
95,Paris,metro,7
195,Washington,restaurants,6
874,Paris,Eiffel Tower,7
120,Paris,movies,2
826,Athens,restaurants,2
156,Washington,restaurants,4
457,Rome,Forum of Rome,4
863,Rome,Forum of Rome,2
795,Rome,movies,6
600,Athens,Acropole,4
460,Washington,Senate,5
285,Athens,statues,5
207,Rome,Forum of Rome,6
53,Athens,restaurants,2
35,Athens,restaurants,7
229,Paris,metro,6
694,Paris,metro,5
632,Athens,Acropole,4
854,Washington,Senate,5
237,Washington,White House,4
819,Rome,movies,7
966,Rome,Forum of Rome,1
279,Athens,Acropole,3
587,Paris,movies,5
968,Paris,Parliament,5
469,Paris,metro,2
476,Paris,Parliament,7
586,Paris,movies,6
575,Athens,Acropole,7
987,Paris,Eiffel Tower,7
234,Athens,Acropole,1
109,Paris,Parliament,1
111,Paris,Montmartre,7
526,Athens,Acropole,3
127,Washington,statues,2
333,Washington,restaurants,5
839,Paris,movies,4
859,Washington,Senate,6
725,Paris,Eiffel Tower,2
493,Athens,Acropole,7
675,Washington,Senate,6
199,Paris,metro,5
120,Athens,restaurants,6
517,Athens,Acropole,4
319,Athens,statues,2
